FDID,FDNAME,STATIONS,PARCELS,PROPERTYVAL,PARCELS_WITH_CLOSER_FS,PROPERTYVAL_WITH_CLOSER_FS
01255,"Longtown Volunteer Fire Department, Inc.",1,541,211222538.00,52,51573991.00
01258,"Jonas Ridge Volunteer Fire & Rescue Department, Inc.",1,1414,183428099.00,0,0.00
01259,Enola Volunteer Fire Rescue,1,1402,131727120.00,150,10048443.00
01260,Valdese Fire Department,1,2972,484182345.00,573,94429376.00
01262,"Oak Hill Fire and Rescue Protection Association, Inc.",3,4395,580625984.00,886,140318792.00
01263,"Lovelady Volunteer Fire & Rescue Department, Incorporated",2,4496,689676256.00,1512,237738287.00
01264,"Icard Township Fire Rescue, Inc.",2,5630,722804057.00,1211,134971741.00
01266,Drexel Fire Department,1,877,147640691.00,152,35743698.00
01267,"Triple Community Fire Department, Inc.",1,4373,584880424.00,2084,259997222.00
01268,"Lake James Fire and Rescue, Inc.",1,1724,583728513.00,347,47716951.00
01269,Glen Alpine Volunteer Fire Department,1,1473,193198331.00,312,34967504.00
01270,Morganton Department Of Public Safety,3,7842,1920226732.00,878,224311599.00
01273,George Hildebran Fire and Rescue Department Inc.,1,3295,321232621.00,545,52608552.00
01274,"Salem Community Fire and Rescue Protection Association, Inc",2,4819,624520826.00,740,85838328.00
01275,"Brendletown Fire Protection and Rescue Association, Inc.",2,3096,391182933.00,513,103927597.00
01276,"Chesterfield Fire and Rescue Protection Association, Inc.",1,2185,219010962.00,178,25024006.00
01277,"West End Fire and Rescue, Inc.",3,3120,492835887.00,252,23966473.00
01278,"Drowning Creek Volunteer Fire Department, Inc.",1,778,78536397.00,214,17558464.00
01279,"South Mountains Fire Rescue, Inc.",1,2454,92703509.00,2,89184.00
01409,"North Catawba Fire-Rescue Department, Inc.",1,216,34343947.00,169,29391505.00
01414,Rhodhiss Fire Department,1,426,37590186.00,135,11121718.00
01807,Hickory Fire Department,7,32,15483789.00,0,0.00
01808,Long View Fire Department,1,438,52915467.00,288,38079720.00